Title,Creator,Viewers,Language,User Link,Avatar Link,Thumbnail Link
"”oOYi一JiangOo"" 絕不破防",我是一件 (yi_jiang),1100,FAKTOP,https://www.twitch.tv/yi_jiang,https://static-cdn.jtvnw.net/jtv_user_pictures/8e9763ab-18ed-4363-be2b-0c34ef6e526b-profile_image-50x50.jpeg,https://static-cdn.jtvnw.net/previews-ttv/live_user_yi_jiang-440x248.jpg
"KOREA DAY 7, DIAMOND 1 START, MASTERS HAS BEEN ACHIEVED, GRANDMASTER NEXT !korea",Naayil,662,leagueoflegends,https://www.twitch.tv/naayil,https://static-cdn.jtvnw.net/jtv_user_pictures/2da47e1c-6a27-4043-8024-2190ec338bb2-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_naayil-440x248.jpg
LFL SUMMER 2024 - PRESHOW - W1D2 - BO1,otplol_,11500,Esport,https://www.twitch.tv/otplol_,https://static-cdn.jtvnw.net/jtv_user_pictures/a58575dc-6414-45f7-a2da-a1ea2bed2e1f-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_otplol_-440x248.jpg
WE HIT CHALLENGER! Rank 1 Korea soon? - DAY 8 ! - 20% DISCOUNT on ALL !Course - !Youtube !Discord !Instagram FOR KOREA UPDATES,Alois_NL,2200,Riven,https://www.twitch.tv/alois_nl,https://static-cdn.jtvnw.net/jtv_user_pictures/099d0238-fb25-4d86-9419-e7c7dd848528-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_alois_nl-440x248.jpg
1 WIN -> CHALL BRAZIL - LAST DAY HERE LMAO,Dantes,6100,English,https://www.twitch.tv/dantes,https://static-cdn.jtvnw.net/jtv_user_pictures/32cb16e8-4403-4aef-a78a-eee9857699c3-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_dantes-440x248.jpg
T06 Midlane Climb 1:1 (Morgen Mexiko),NoWay4u_Sir,9900,Deutsch,https://www.twitch.tv/noway4u_sir,https://static-cdn.jtvnw.net/jtv_user_pictures/9e619d88755f56a8-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_noway4u_sir-440x248.jpg
【 AJ阿哲】回歸拉~快訂閱 今天鑽二睡覺,稚嫩的身體 (chang770316),22,中文,https://www.twitch.tv/chang770316,https://static-cdn.jtvnw.net/jtv_user_pictures/chang770316-profile_image-c371c80cdb763d70-50x50.jpeg,https://static-cdn.jtvnw.net/previews-ttv/live_user_chang770316-440x248.jpg
122/500 LP! Day 8 Korea! Mathterclathh Thursday. | !deeplol !korea !LP !newvideo !runes !build !race,Spear_Shot,1300,Challenger,https://www.twitch.tv/spear_shot,https://static-cdn.jtvnw.net/jtv_user_pictures/539c2317-12e6-4bb3-8e3b-0aadcc0aa0b8-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_spear_shot-440x248.jpg
(450) FULL TRYHARD WITH CAMEL (RIP NERFS) 5 role chall run. !5role !order,Drututt,5800,English,https://www.twitch.tv/drututt,https://static-cdn.jtvnw.net/jtv_user_pictures/78ade84d-edbc-47fa-a740-de76f6528379-profile_image-50x50.png,https://static-cdn.jtvnw.net/previews-ttv/live_user_drututt-440x248.jpg
NEVER FF VEL'KOZ VS PERMA FF KOREA,Azzapp,1600,aurelionsol,https://www.twitch.tv/azzapp,https://static-cdn.jtvnw.net/jtv_user_pictures/4bc83075-bcef-4713-9a15-b7ade19f5f8e-profile_image-50x50.jpeg,https://static-cdn.jtvnw.net/previews-ttv/live_user_azzapp-440x248.jpg
